Date,CSI300,KOSDAQ,KOSPI,KOSPI-Short,MMF,Nikkei225,S&P500,STOXX50,US-Long,US-Short,WTI,국채10년,금,우량회사채,해외채권
2015-10-14,0.03271564515530819,-0.012458324038917359,-0.004399558246448554,-0.0006088280248945883,0.00019627800296507597,-0.013886143539069277,-0.009576741564218148,-0.010407554805091705,-0.009589392962997649,0.009246482892066605,-0.058099004536969125,-0.002758605049812684,0.03045660867496963,-0.00014426816382302117,-0.004829815566172381
2015-10-15,0.023419268389834096,0.008163310639160835,0.011971804358509811,-0.013488861785943771,0.00019615946090308393,0.011442881362546347,0.014743551351355088,0.014693016327089583,-0.013072060559193297,0.01371136654591344,-0.005590174098760013,0.0050516549441847304,0.006587902904208858,0.0009139627232337005,0.0023588799776569904
2015-10-16,0.013460035227657726,0.014716652817651808,-0.0020999251678572835,0.0018501392881613734,0.0,0.010712240234670423,0.004560061373697022,0.008032305571654325,-0.00169927151685065,0.0018140594543932759,0.018795881386134125,-0.0005415524421407318,-0.0036264419486807366,-0.0005771551089208792,0.004583524556685942
2015-10-19,3.112510168953502e-05,-0.0009429294076323259,0.00040419572232343077,0.0018467225931647112,4.9053858705943286e-05,-0.008817023032659108,0.0002705089438730595,0.0021753534917826997,-0.0076824008040007824,0.009021261000631334,-0.029417021136746095,-0.0007502951343715831,-0.008740287853461832,0.00024046152982465306,0.0026940771254386226
2015-10-21,-0.017390551339667507,0.005644472171189131,0.0071670413684659946,-0.007407441277861805,-0.00019622987416301795,0.023064560634877433,-0.00726454996702809,5.804815685670321e-05,0.00895708248306717,-0.01083532045502446,-0.015150111389047897,-0.0035924435095679766,-0.004869993975290932,0.0,-0.00011776417514626796
2015-10-23,0.02782211937208438,-0.0061162705031850345,0.0006417345141997183,-0.0018604656529196783,0.0001471760154569376,0.01450129900683759,0.027460800981636873,0.04586625350753952,-0.005535450836850714,0.00633486281396834,-0.013363278903890509,0.0017561056459390496,-0.0036895032738250267,9.60720354644504e-05,0.0038523281989990116
2015-10-26,0.005033178700240944,0.0145235945399898,0.003801741138248898,-0.0031084886702674487,0.0002451652293092265,0.006450144416195941,-0.0019149330011001104,-0.0032775727527071157,0.006808509770798215,-0.005427421735365128,-0.013998850095322132,0.00033412437289569104,0.0031755174900332073,-0.002117732166201584,-0.0010490986537753679
2015-10-27,0.0010080561800652062,-0.008876559504129605,-0.0012790062819576578,0.0012445552322047017,0.0,-0.009017098783996941,-0.00255738586508774,-0.009885900140041076,-0.0033983750652235105,0.0022650066308520615,-0.017894461807464134,0.0027940610672452797,-0.00017135244509453186,0.0027908610721913713,-0.003270619894913453
2015-10-28,-0.019096368327989697,0.018596564212283527,-0.0010003402259314879,0.0006216972534715411,-4.8964230519286366e-05,0.006686875916802223,0.011770488488143476,0.011784755122717098,0.0008506344522096407,0.0,0.06149565445710822,0.0036164215389878915,0.008788764836116568,-0.00014425537899101227,0.0026869697034644
2015-10-29,0.0023773676832870238,-0.0041541660447818995,-0.0034488349654957146,0.0018627760741904253,0.0001469654967741939,0.0017279339966780867,-0.00044987538066072313,-0.002253338540071014,0.010152330976068463,-0.009547696988935527,0.0026087568399935346,-0.0030751622171618074,-0.025729617395093392,-0.0012502819261245547,-0.0025705936128073885
2015-10-30,0.00021790222502121668,-0.015381436768031151,0.001926440335135909,-0.00310655732906096,0.00014710387179682317,0.0077534992879318134,-0.004821481688425431,0.001416966631748833,-0.0025284151493951243,0.0009132420726035257,0.011441004896024764,-0.0034606124127725168,-0.004980961312634337,0.001106166320591784,0.0011693066117626928
2015-11-02,-0.016582311022471048,-0.0032932686957025032,0.004759923461429187,0.0012437812548705546,4.902981553658117e-05,-0.021176228305019064,0.011803876338814608,0.004748487142833182,-0.0016891404407830795,0.000456308472439653,-0.009705689586471255,-0.0016302264473069573,-0.0050058955364459265,-0.0012023076915677541,0.003095371311404653
2015-11-04,0.042959663657272294,0.011712483767629104,0.006879695081466253,-0.009993837082334717,-4.902981553655464e-05,0.012957849346622466,-0.0008273140145796213,0.0013558752928881288,-0.004235503869039678,0.0045516692147191005,0.0038935871589610817,-0.007137161478359027,-0.026135410942299934,9.614137097607984e-05,-0.0018749456715900542
2015-11-05,0.02111466933494735,0.015253368057895286,-0.002142381800747962,0.0006275494401118305,0.00014700226184414513,0.009962409472013477,-0.0011327897564983025,0.002419197231101876,0.00508047309226021,-0.005007977687158769,-0.024476722958939368,0.0053786237012753485,-0.001899657328927695,0.0006733735351230708,-0.0038766779345769894
2015-11-06,0.023309773214910817,0.004576650784189678,-0.0061349619029650035,0.007500035156546583,-4.894503457599242e-05,0.007773965218854379,-0.00034768178002366065,0.005992172259412134,0.0021092624308497346,-0.0009132420726036259,-0.02033816511107256,-0.0018875904950289926,-0.015328811851509786,-0.0003846834339025317,-0.004838410772509802
2015-11-09,0.012308702215237293,-0.03012967992476287,-0.004164476735639419,0.004349183618501896,4.894503457606525e-05,0.01938671444901495,-0.009871290656502512,-0.014477664131774181,0.01464156375338578,-0.01287374101597695,-0.00952824777546338,-0.008983449475583232,0.0002758435578281864,-0.0023117772142380423,-0.004148423677097967
2015-11-10,-0.0018531097008451529,-0.025257453005344977,-0.013533670737978856,0.0141584390374835,4.902260874924927e-05,0.0014508590452653068,0.0015094551534496445,0.002057289383259593,0.0,0.0004626416922675112,0.007720296298707589,-0.0003813709872656018,0.0002756553127857822,-0.001930504631223506,-0.002259384810194334
